"id","title","description","color","filename"
1,"Byggeri","Byggematerialer, vinduer og døre","004679","byggeri.jpg"
2,"Deponi","Til nedgravning","2B2C2E","deponi.jpg"
3,"Elektronik","Køkkenmaskiner, musikanlæg og kabler","F18700","elektronik.jpg"
4,"Farligt","Batterier og kemikalier","E30620","farligt-affald.png"
5,"Glas","Glas og flasker","28A745","glas.png"
6,"Natur","Græs, jord og grene","06682D","natur.jpg"
7,"Metal","Heavy affald & dødsmetal","607179","metal.png"
8,"Pap","Flyttekasser og fagbøger","C4A167","pap.png"
9,"Papir","Aviser og reklamer","017EC0","papir-og-aviser.jpg"
10,"Tekstiler","Tøj som ikke passer ind","951C3F","tekstil.png"
11,"Træ","Møbler og makværk","7F652B","trae.jpg"
12,"Plastik","Ting som nok ikke skal brænde","7F652B","plast.png"