"id","name","description","image"
1,"Anders Hove","Anders Tøfting Hove er søn af meteorolog, butiksbestyrer Anders Hove og Birte Jensen. Han blev uddannet på Statens Teaterskole i 1983 og har haft en karriere der strækker sig fra medvirken i amerikanske soap-serier og hovedroller i amerikanske skrækfilm til medvirken i hjemlige Dogme-film som ""Idioterne"" og ""Mifunes sidste sang"". I USA havde Anders Hove bl.a. en fast rolle som Cesar Faison i soap-serien ""General Hospital"". Herhjemme har han medvirkede han i tv-spillet ""Med dame på og hele lortet"" i 1994 og har bl.a. spillet roller i Lars Noréns ""Skyld i kærlighed"" og ""Så enkel er kærligheden"" på Rialto Teatret. Han blev den 23. marts 1988 gift med danseren og koreografen Ann Thayer Crosset (16-03-1954)","anders-hove.jpg"
2,"Ann Eleonora Jørgensen","Ann Eleonora Jørgensen, f. 1965, dansk skuespiller. Ann Eleonora Jørgensen gjorde sig fra begyndelsen bemærket med en stærk erotisk udstråling, intelligens og en slagfærdig replik. Talentet har udfoldet sig i både klassiske roller som i Marivaux' Den dobbelte troløshed (1999) og William Shakespeares Helligtrekongersaften (2001) på Grønnegårds Teatret, i Noel Cowards Privatliv (1995) og Design for Living (1998) på Mungo Park og i det nyeste drama som Astrid Saalbachs Aske til aske — støv til støv (Aarhus Teater 1998), Howard Barkers Det sårede ansigt (Kanonhallen, 1999) og Nikoline Werdelins Boblerne i bækken (Aveny-T, 2002).

I roller har Ann Eleonora Jørgensen udviklet en drilagtig evne til ironisk afvæbning af andre figurer i forestillingen, men hun kan også med fuldt engagement konfrontere sit publikum med synspunkter fx i Tørklædemonologerne (Edison 2006). Hun medvirkede i Taxa på tv 1997-99 og i Forbrydelsen 2007, og hun blev prisbelønnet for sin rolle i filmen Italiensk for begyndere (2000).","ann-eleonora-jorgensen.jpg"
3,"Birgitte Hjort Sørensen","Birgitte Hjort Sørensen, f. 16.1.1982, dansk skuespiller. Birgitte Hjort Sørensen er uddannet på Statens Teaterskole 2007 og debuterede som Roxie Hart i musicalen Chicago (2006) på Det Ny Teater, en rolle, hun senere også spillede i London.

Hun havde en række mindre roller på film, indtil Linda Wendel (f. 1955) gav hende titelrollen i sin August Strindberg-opdatering Julie (2011). Hun slog bredt igennem som tv-journalisten Katrine Fønsmark i DRs dramaserie Borgen (2010-13), hvor hun kombinerer medieverdenens benhårde professionalisme med nuancer af feminin følsomhed.

Birgitte Hjort Sørensen spiller Marie Krøyer i Bille Augusts Marie Krøyer (2012).","birgitte-hjort-sorensen.jpg"
4,"Birthe Neumann","Birthe Neumann, f. 30.04. 1947, dansk skuespiller, gift med Paul Hüttel. Birthe Neumann er kendt som tragisk, nervøst vibrerende, ironisk eller komisk fortolker af moderne kvindelig kompleksitet samt som borgermadammernes portrættør, fx i Ludvig Holbergs Den politiske Kandstøber (1993), Don Ranudo (1997) og Jean de France (2001), samt Molières Det kvindelige selskab (1997), alle Det Kongelige Teater, hvortil hun har været knyttet siden 1972.

Sin bevægende karateriseringsevne viste hun som Linda Loman i Arthur Millers En sælgers død (2000). Sideløbende har hun optrådt i radioen, i revyer og med stor succes i satireprogrammer i tv.

Birthe Neumanns filmarbejde omfatter bl.a. roller i Lad isbjørnene danse (1990), Kun en pige (1995) samt Thomas Vinterbergs dogmefilm Festen (1998). I DR's tv-serie Edderkoppen (1999-2000) gav hun et fint arbejderkvindeportræt; hun spillede rig enke i Solkongen (2005), handlekraftig hustru i Opbrud (2005), og i Lykkevej (2003) skabte hun et smukt og varmt portræt af en middelklassekvinde, der pludselig skal klare sig selv.","birthe-neumann.jpg"
5,"Bodil Jørgensen","Bodil Jørgensen er en dansk skuespiller. Hun var 1990-92 knyttet til Jomfru Ane Teatret i Aalborg, og efter en freelanceperiode har hun siden 1996 været ansat ved Det Kongelige Teater.

Hendes talent er af en særegen karakter, der på en gang udtrykker skrøbelighed og styrke. Hovedindsatsen har ligget på Det Kongelige Teater med roller i Sergi Belbels Skybrud (1997), Bernard-Marie Koltès' Kajen mod vest (1999) og som titelpersonerne i Ludvig Holbergs Den vægelsindede (2000) og Kjeld Abells Anna Sophie Hedvig (2001).

På film har Bodil Jørgensen bl.a. spillet i Lars von Triers Idioterne (1998) og Katrine Wiedemanns debutfilm, Fruen på Hamre (2000), og på tv har hun medvirket i alt fra satire til mere alvorlige roller.

Bodil Jørgensen blev 2010 tildelt teateranmeldernes pris, Teaterpokalen, for sin præstation i Ödön von Horváths Wienerballader på Det Kongelige Teater. 2011 modtog hun en Robert for årets kvindelige birolle i Mikkel Munch-Fals' Smukke mennesker (2010).","bodil-joergensen.jpg"
6,"Jesper Christensen","Jesper Christensen, f. 16.5.1948, dansk skuespiller. Efter fra 1971 at have været elev og skuespiller ved Fiolteatret fik Jesper Christensen sit egentlige gennembrud på film med Hærværk (1977) og især som den unge arbejdsløse i Hør, var der ikke en, som lo? (1978). Han har siden været knyttet til de fleste københavnske scener, hvor hans nervøst intense spil har gjort indtryk, bl.a. i Drømmespinderen (1982).

Jesper Christensens rollefag rækker fra det lyriske til det komiske: Ewald i Stjernekasteren (1983) og titelrollen i Peter Langdals Erasmus Montanus vender tilbage (1984).

Han har spillet en række roller hos Tjekhov, fx i Onkel Vanja (1988). I 1990'erne har han vist sin alsidighed som skuespiller hos Peter Langdal på Betty Nansen Teatret: i Jean Anouilhs Den dobbelte kærlighed (1992), i Peter Laugesens monolog Richard 3. (1994) og i Goethes Faust (1994).

Han har også haft mange opgaver på tv, bl.a. titelrollen i Misantropen (1981), og i radioen. Han fik stor succes med sit på én gang rå og charmerende portræt af alkoholikeren Kaj i Per Flys film Bænken (2000) og har i høj grad og med stor succes koncentreret sig om filmopgaver i de senere år, bl.a. i Italiensk for begyndere (2000), At klappe med en hånd (2001) og Spies og Glistrup (2013).

Jesper Christensen fortsatte samarbejdet med Per Fly i Drabet (2005), hvor han har rollen som en gammel 68'er af en lærer, der på grund af erotisk betagelse af en elev mister sin dømmekraft.

Jesper Christensen har medvirket i Sydney Pollacks The Interpreter (2005, Tolken) og haft rollen som skurk i James Bond-filmene Casino Royale (2006), Quantum of Solace (2008) og Spectre (2015). I Jan Troells Maria Larssons eviga ögonblick (2008, Maria Larssons evige øjeblik) og Dom över död man (2012) har han spillet hovedroller.

I den tyske instruktør Jürgen Beckers (f.1954) tragikomiske Ich und Kaminski (2015) spiller Jesper Christensen en legendarisk, senere glemt maler, Manuel Kaminski.

I 2016 modtog Jesper Christensen en Robert i kategorien Årets mandlige birolle / tv-serie for sin rolle i Arvingerne II (2014-). Desuden modtog han Lauritzen-Prisen 2016.","jesper-christensen.jpg"
7,"Lars Brygman","Lars Brygmann er en dansk skuespiller. Han er bror til Martin Brygmann.

Lars Brygmann var fra begyndelsen knyttet til Teater Får302 og spillede bl.a. i Ibsens Peer Gynt (1992). På Mungo Park spillede han bl.a. i Mark Ravenhills Faust er død (1997), og på Dr. Dantes Aveny bl.a. i Jesper Hyldegaards Halløj på indlandsisen (1995) og Lars Kaalunds Kunst (1996) og igen 2002 på Aveny i Nikoline Werdelins Boblerne i bækken.

Brygmanns karaktertegninger har ofte en grundlæggende, let distræt undren over omverdenens handlinger, der kan eksplodere i vrede oprør, og i stigende grad en mystik, der både kan rumme en renhed og latent farlighed. Han var bl.a. Willy Brandt-figuren i Michael Frayns Demokrati og Krogstad i Ibsens Nora på Betty Nansen Teatret 2004 og 2005.

Lars Brygmann har spillet karakterroller i film som Thomas Vinterbergs Festen (1998) og Per Flys Bænken (2000), og han har haft gennemgående roller i tv-serier som Taxa (1997-1999), Edderkoppen (1999-2000) samt Rejseholdet (2000-2002), hvor han blev kendt som den clairvoyante opdager la Cour.","lars-brygman.jpg"
8,"Lars Mikkelsen","Lars Mikkelsen, Lars Dittmann Mikkelsen, f. 6.5.1964, dansk skuespiller, bror til Mads Mikkelsen, gift med Anette Støvelbæk. Lars Mikkelsen har i løbet af få år placeret sig centralt i dansk teater med et talent, der rækker fra sære, skæve personer over det erotisk spændende til shakespeareske veltalende elskere samt til revyen.

Lars Mikkelsen spillede titelfiguren i Bo hr. Hansens Johns åbenbaring på Bådteatret 1997. På Det Kongelige Teater var han bl.a. 1999 med i Sergi Belbels Jeg er grim og spillede fyrsten i William Shakespeares Kærlighedens kværulanter. Han spillede en række roller i Hugo Claus' Serenade på Husets Teater 2002.

Lars Mikkelsens rolleregister er meget omfattende, og han har spillet på de fleste københavnske scener med intensitet, følsomhed, vid, elegance og latent farlighed. Han var psykopatisk pædofil i Bryony Laverys Frosset (Husets Teater 2002), en ironisk titelfigur i Molières Don Juan (Det Kongelige Teater og Det Danske Teater 2003) og s.å. en vittig mandig Benedick i Shakespeares Stor ståhej for ingenting på Grønnegårds Teatret, samt spillede i Claus Beck-Nielsens Parlamentet på Das Beckværk.

2006 spillede han en intelligent og forfængelig Georg Brandes med svaghed for at blande litterær og erotisk interesse i Vivian Nielsens Brandes (Det danske Teater). Mikkelsen medvirkede i tv-serierne Edderkoppen (2000), Krøniken (2004-06) og Forbrydelsen (2007) og s.m. Stine Stengade i Ole Chr. Madsens film En kærlighedshistorie (2001).

2010 modtog Lars Mikkelsen en Robert for årets mandlige hovedrolle i Rumle Hammerichs Headhunter (2009), og i 2011 blev han belønnet med Bikubens Hæderspris ved uddelingen af Reumert-prisen. 2017 modtog han både en Robert og en Bodil i kategorien årets mandlige birolle for sin rolle i Jesper W. Nielsens film Der kommer en dag (2016).","lars-mikkelsen.jpg"
9,"Lars Ranthe","Skuespiller. Født 26/8 1969. Uddannet fra Odense Teater i 1998.

Ranthe begyndte skuespilkarrieren i 80'erne med biroller i 'Gummi Tarzan' (1981) og 'Crash' (1984). Efter endt uddannelse begyndte karrieren for alvor med roller i 00'er-film som 'Se til venstre, der er en svensker' (2003), 'Forbrydelser' (2004), 'Adams æbler' (2005) og 'Sommer' (2008). I 2011 kom det store gennembrud med 'Dirch', der indbragte ham både en Robert- og Bodil-statuette.

Andre prominente roller tæller 'Jagten' (2012), 'Skytten' (2013), 'Dicte' (2013-2016), 'Kollektivet' (2016), 'Der kommer en dag' (2016). 'Kærlighed og andre katastrofer' (2016) indbragte Ranthe en Bodil-nominering. Ranthe blev Robert-nomineret for både 'Friheden' (2018) og 'Kriger' (2018). Han modtog skuespillerprisen for sin præstation i 'Druk' (2020) ved San Sebastián Filmfestival. Han delte prisen med sine tre medskuespillere.","lars-ranthe.jpg"
10,"Lena Maria Christensen","Lene Maria Christensen, f. 10.4.1972, dansk skuespiller, uddannet på Statens Teaterskole (1995-99). Lene Maria Christensen fik sit gennembrud som Constanze i Peter Shaffers Amadeus på Østre Gasværk (2001).

Hun har desuden medvirket i tv-serierne Hotellet (2000-02), Jul i Valhal (2005) og Lulu & Leon (2009). På film har hun haft roller i bl.a. Natasha Arthys (f. 1969) Se til venstre, der er en svensker (2003), Susanne Biers Brødre (2004) og i Henrik Ruben Genz' Frygtelig lykkelig (2008), for hvilken hun modtog både en Bodil og en Robert.

Lene Maria Christensen blev tildelt Ove Sprogøe Prisen i 2008. I 2016 modtog Lena Maria Christensen en Robert i kategorien Årets kvindelige birolle / tv-serie for sin rolle i Arvingerne II (2014-).","lena-maria-christensen.jpg"
11,"Louise Mieritz","Louise Mieritz, f. 1971, dansk skuespiller, der debuterede 1994 i Nicolai Cederholm/Kåre Bjerkøs (f. 1965) Gasolin’ – en teaterkoncert på Dr. Dante og medvirkede i genopsætningen smst. 1995 og på Østre Gasværk 2006.

Louise Mieritz spillede sød og frisk pige i Saalbaachs Det velsignede barn (Husets Teater, 1996). Som medlem af den satiriske kvindegrupppe Emmas Dilemma fra 1995, der bl.a. havde en serie udsendelser på DR2 i 2001, og medvirken i Grønnegårdsteatrets Absolut Holberg (2001) og Betty Nansen Teatrets version af Brechts Laser og Pjalter (2003) har hun udviklet sin komik hen imod en grotesk udfordrende revselse af eget køn og dets samfundsskabte vilkår.","louise-mieritz.jpg"
12,"Nicolas Bro","Nicolas Bro, f. 1972, dansk skuespiller og dramatiker, søn af Helle Hertz og Christoffer Bro (f. 1935), bror til Laura Bro.

Nicolas Bro blev uddannet skuespiller i 1998 og debuterede samme år som dramatiker med komedien Den biologiske abe. Siden har han vekslet mellem at skrive skuespil, bl.a. Himmelstormerne (Østre Gasværk teater 1999), Guddommeliggørelsen af den laveste fællesnævner (2001) og Stolthed er kolossal (2005, begge på Mammutteatret) og arbejdet som film- og teater- og tv-skuespiller.

Han er et af sin generations store talenter, fordi han med en blanding af fysisk tyngde og uskyldig lethed formår at forene det rørende og klovnede med det brutale – barnet med magtmennesket. På Det Kongelige Teater har han bl.a. spillet Apicius i Holbergs Den vægelsindede (2000), Tudse i Vinden i piletræerne (2002-04) og Lysander i En skærsommernatsdrøm (2004).

I 2008 spillede han Hamlet i den første forestilling i det nye skuespilhus. 2010 var han en sprudlende Don Juan i Grønnegårds Teatrets opsætning af Molières Don Juan.

På film har han ofte haft godmodige roller, bl.a. som evighedsstudenten Jimmy i Rembrandt (2003), alkoholikeren Gunnar i Adams æbler (2005) og romantikeren ""Morfar"" i Voksne mennesker (2005); han viste farlighed i Mørke (2005) og i eksperimentet Offscreen (2006).

I Christoffer Boes Spies & Glistrup (2013) spillede Nikolas Bro advokat Mogens Glistrup, en rolle, der indbragte ham en Robert i kategorien Årets mandlige birolle. I 2016 modtog Nicolas Bro endnu en Robert for Årets mandlige birolle i filmen Mænd & Høns (2015).

På tv spillede han den idealistiske, men trængte justitsminister i Forbrydelsen II (2009).","nicolas-bro.jpg"
13,"Nikolaj Lie Kaas","Nikolaj Lie Kaas, f. 22.5.1973, dansk skuespiller, søn af Preben Kaas. Nikolaj Lie Kaas debuterede med en prisbelønnet teenagerrolle i Søren Kragh-Jacobsens Drengene fra Sankt Petri (1991) og kom derefter på Statens Teaterskole.

Siden har Lie Kaas markeret sig som et af generationens største talenter, både på teater, bl.a. i titelrollen i Ibsens Peer Gynt (2001), og på film, hvor Kaas både har vist komisk talent i bl.a. I Kina spiser de hunde (1999), De grønne slagtere (2002), Solkongen (2005) og Mænd og Høns (2015) og vist evne for psykologisk komplekse karakterskildringer i bl.a. Et rigtigt menneske (2001), Elsker dig for evigt (2002), Reconstruction (2003) og Brødre (2004).

Han bestred nuanceret den forpligtende titelrolle i Dirch (2011) uden at forfalde til plagiat og modtog Ove Sprogøe Prisen 2011 for sin præstation.

Nikolaj Lie Kaas blev engageret til at spille politimanden Carl Mørck i en række filmatiseringer af Jussi Adler-Olsens succeskriminalromaner, begyndende med Kvinden i buret (2013), og han spiller en af hovedrollerne i tv-serien Bedrag (2016) om økonomisk kriminalitet.","nikolaj-lie-kaas.jpg"
14,"Søren Malling","Søren Malling, f. 1964, dansk skuespiller. Efter uddannelse på Odense Teater og ansættelser dér 1992-94 har Søren Malling siden 1994 været freelanceskuespiller med et vidtfavnende talent og et machoagtigt udseende, der længe henviste ham til mere brutale roller, fx som nazisten i Lars Noréns Drengene i skyggen (Edison, 2000) eller soldaten i Sarah Kanes Blasted (Caféteatret, 2001).

Siden har også et oplagt komisk talent afsløret sig, bl.a. i Thor Bjørn Krebs' Europamestrene (Teater Grob, 2003) og som håndværker i Shakespeares En skærsommernatsdrøm (Folketeatret, 2004), ligesom Malling med stor overbevisning spillede den intelligent-følsomme forfatter i Martin McDonaghs diktaturstatsdrama Pudemanden (Husets Teater, 2005).

Med sin på en gang kontante og empatiske facon brød Søren Malling igennem på tv som Sarah Lunds makker i Forbrydelsen (2007), senere fulgt op af bl.a. den bissede tv-redaktionschef i Borgen (2010).

I 2017 modtog Søren Malling både en Robert og en Bodil i kategorien årets mandlige hovedrolle i Christian Tafdrups film Forældre (2016).","soeren-malling.jpg"
15,"Sonja Richter","Sonja Richter, f. 1974, dansk skuespiller. Med sin blanding af hårdkogthed og skrøbelighed har Sonja Richter hurtigt efter uddannelsen på Odense Teater i 1999 placeret sig som en af dansk teater og films interessante skuespillere.

Hun har spillet Ofelia i Hamlet (Odense Teater 1999), Solveig i Peer Gynt (Det Kongelige Teater 2001), Maria Magdalena i Jesus Christ Superstar (Østre Gasværk Teater 2002) og den troværdigt renfærdige titelrolle i Anouilhs Antigone (Det Kongelige Teater 2003) samt flere narkoman- og misbrugstyper i Ole Bornedals Himlen (Aveny-T 2004), Margareta Garpes Limbo (2004-05) og Hedda Gabler i Hedda (2006, begge Betty Nansen Teatret).

På film bl.a. kokken Cæcilie i Susanne Biers Elsker dig for evigt (2002), sygeplejersken Anna i Erik Clausens Villa Paranoia (2004), den indsatte Marion i Annette K. Olesens Forbrydelser (2004) og titelrollen i Hans Fabian Wullenwebers (f. 1967) gyser Cecilie (2007).

Sonja Richter, der havde haft en central rolle i Per Flys tv-føljeton Forestillinger (2007), fik titelrollen i hans erotiske filmdrama Kvinden der drømte om en mand (2010).","sonja-richter.jpg"
16,"Thure Lindhardt","Thure Lindhardt, f. 24.12.1974, dansk skuespiller. Med en kombination af et iøjnefaldende talent og en drenget ungdommelig fremtræden, der på en gang signalerer uskyld og lurende farlighed, har Thure Lindhardt siden 1998 haft en hastig karriere.

Hans stil har især forbundet ham med skæve eksistenser i det nyeste repertoire som Mark Ravenhills Shopping and Fucking (CaféTeatret 1998) og Sarah Kanes Renset, Claus Beck-Nielsens Ci-vi-li-sa-tion (begge Det Kongelige Teater 2000) og Vasilij Sigarews Plasticin (Mammutteatret 2004).

Lindhardts talent rækker imidlertid også til at spille den unge Alfred i Flemming Enevolds Kameliadamen (Gladsaxe Teater 2002) og Ole Bornedals Skrigerne (Aveny-T 2001) samt John Logans Rød (Betty Nansen Teatret 2011) om kunstnerisk stagnation og skabende nødvendighed.

Thure Lindhardt har dog også haft større klassiske roller som Aladdin (Friluftsteatret i Dyrehaven 2000), Cæsar i William Shakespeares Antonius og Cleopatra (Det Kongelige Teater 2001) og Hamlet på Kronborg 2004 og på Gladsaxe Ny Teater 2007.

Filmen har især brugt hans ungdommelige, distancerede særhed og farlighed, fx i Kaspar Rostrups Her i nærheden (2000) og i Nordkraft (2005) og Flammen og Citronen (2008), begge af Ole Christian Madsen. I Nikolaj Arcels Sandheden om mænd (2010) viste han en mere troskyldig side af sit talent. På tv har han bl.a. medvirket i tv-serien Broen (2015).

Thure Lindhardt har medvirket i flere udenlandske film, bl.a. Dan Brown-filmatiseringen Angels and Demons (2009, Engle og dæmoner) og som kidnapperen Wolfgang Priklopil i Natascha Kampusch-filmen 3096 Tage (2013, 3096 dage).

I 2005 fik Thure Lindhardt Hartmann-Fondens Diplompris; 2014 tildeltes han Lauritzen-prisen.","thure-lindhardt.jpg"
17,"Trine Dyrholm","Trine Dyrholm, f. 15.4.1972, dansk skuespiller og sanger. Trine Dyrholm fik sit gennembrud som sanger i gruppen Trine & Moonlighters og blev nummer tre i det danske Melodi Grand Prix i 1987 med sangen Danse i måneskin. Siden udgav hun et par lp'er.

I 1995 spillede hun i Grønnegårds Teatrets En skærsommernatsdrøm, men ellers har hun mest virket i et moderne repertoire som Torben Toben (2000) på Dr. Dantes Aveny. Med en voksende indre styrke og vrede i Himmelstormerne (Østre Gasværk, 1999) nåede hun frem til gennembruddet som karakterskuespiller i Sarah Kanes4:48 Psykose (Edison, 2002, Reumert i kategorien årets kvindelige hovedrolle, 2002).

Siden har Trine Dyrholm med overbevisning spillet et stort og varieret repertoire, bl.a. Howard BarkersStalingrad i Holland Houses musikalske udgave på Det Kongelige Teater (2002), Gorkijs Sommergæster (Betty Nansen Teatret, 2004), Christopher Hamptons Farlige forbindelser (Østre Gasværk, 2005) og med vid, sødme og stor musikalitet i Martin Tulinius' K.R.O.P. (Bellevue Teatret, 2006).

Af hendes medvirken i film kan nævnes Springflod (1990, Bodil i kategorien bedste kvindelige hovedrolle, 1991), Festen (1998), I Kina spiser de hunde (1999), den eksperimentelle P.O.V. (2002), Forbrydelser (2004, Bodil i kategorien bedste kvindelige birolle, 2005), Fluerne på væggen (2005, Bodil i kategorien bedste kvindelige hovedrolle, 2006), En Soap (2006, Bodil i kategorien bedste kvindelige hovedrolle, 2007, Robert i kategorien årets kvindelige hovedrolle, 2007), Lille soldat (2008), En kongelig affære (2012, Robert i kategorien årets kvindelige birolle, 2013) og Lang historie kort (2015, Robert i kategorien årets kvindelige birolle, 2016).

Trine Dyrholm har vakt international opmærksomhed i Susanne Bier-filmene Hævnen (2010, Bodil i kategorien bedste kvindelige hovedrolle, 2011, Robert i kategorien årets kvindelige hovedrolle, 2011) og Den skaldede frisør (2012, Robert i kategorien årets kvindelige hovedrolle, 2013). Ved Berlinalen i Berlin i 2016 modtog Trine Dyrholm en Sølvbjørn i kategorien bedste kvindelige hovedrolle for sin rolle i Thomas Vinterbergs Kollektivet (2016). For samme film modtog hun i 2017 både en Robert og en Bodil i kategorien årets kvindelige hovedrolle.

I tv har hun spillet titelrollen i tv-filmen Cecilia (1991) og medvirket i serierne Taxa (DR1, 1997-99), Arvingerne (DR1, 2014, Robert i kategorien årets kvindelige hovedrolle i en tv-serie, 2015) samt Arvingerne II (DR1, 2015, Robert i kategorien årets kvindelige hovedrolle i en tv-serie, 2016).","trine-dyrholm.jpg"
